2019-03-31 21:18:54,140 | INFO | test
2019-03-31 21:21:54,124 | INFO | Launching...
2019-03-31 21:22:05,694 | INFO | Stopping loop...
2019-03-31 21:22:05,695 | INFO | Done.
2019-03-31 21:22:35,633 | INFO | Launching...
2019-03-31 21:22:43,437 | WARNING | The game has been force-quited.
2019-03-31 21:26:08,395 | INFO | Launching...
2019-03-31 21:26:10,171 | INFO | Stopping loop...
2019-03-31 21:26:10,172 | INFO | Done.
2019-03-31 21:39:32,609 | INFO | Launching...
2019-03-31 21:39:41,996 | INFO | Stopping loop...
2019-03-31 21:39:42,000 | INFO | Done.
2019-03-31 21:40:15,700 | INFO | Launching...
2019-03-31 21:40:18,580 | INFO | Stopping loop...
2019-03-31 21:40:18,581 | INFO | Done.
2019-03-31 21:41:08,912 | INFO | Launching...
2019-03-31 21:41:15,032 | INFO | Stopping loop...
2019-03-31 21:41:15,034 | INFO | Done.
2019-03-31 21:42:34,381 | INFO | Launching...
2019-03-31 21:42:37,920 | INFO | Stopping loop...
2019-03-31 21:42:37,925 | INFO | Done.
2019-03-31 21:43:37,866 | INFO | Launching...
2019-03-31 21:43:45,507 | INFO | Stopping loop...
2019-03-31 21:43:45,509 | INFO | Done.
2019-03-31 21:44:22,005 | INFO | Launching Platformer_v2.pyw
2019-03-31 21:44:23,735 | INFO | Stopping loop...
2019-03-31 21:44:23,737 | INFO | Done.
2019-03-31 21:56:23,361 | INFO | Launching Platformer_v2.pyw
2019-03-31 21:56:26,187 | INFO | Stopping loop...
2019-03-31 21:56:26,188 | INFO | Done.
2019-03-31 22:11:01,341 | INFO | Launching Platformer_v2.pyw
2019-03-31 22:11:04,230 | INFO | Stopping loop...
2019-03-31 22:11:04,232 | INFO | Done.
2019-03-31 22:11:11,657 | INFO | Launching Platformer_v2.pyw
2019-03-31 22:11:13,950 | INFO | Stopping loop...
2019-03-31 22:11:13,951 | INFO | Done.
2019-03-31 22:11:47,187 | INFO | Launching Platformer_v2.pyw
2019-03-31 22:12:02,424 | INFO | Stopping loop...
2019-03-31 22:12:02,425 | INFO | Done.
2019-03-31 22:12:08,421 | INFO | Launching Platformer_v2.pyw
2019-03-31 22:12:10,789 | INFO | Stopping loop...
2019-03-31 22:12:10,789 | INFO | Done.
2019-03-31 22:12:49,297 | INFO | Launching Platformer_v2.pyw
2019-03-31 22:12:58,169 | INFO | Stopping loop...
2019-03-31 22:12:58,171 | INFO | Done.
2019-03-31 22:13:03,279 | INFO | Launching Platformer_v2.pyw
2019-03-31 22:13:09,816 | WARNING | The game has been force-quited.
2019-03-31 22:13:24,766 | INFO | Launching Platformer_v2.pyw
2019-03-31 22:13:27,050 | INFO | Stopping loop...
2019-03-31 22:13:27,052 | INFO | Done.
2019-03-31 22:13:34,103 | INFO | Launching Platformer_v2.pyw
2019-03-31 22:13:42,445 | INFO | Stopping loop...
2019-03-31 22:13:42,446 | INFO | Done.
2019-03-31 22:14:45,472 | INFO | Launching Platformer_v2.pyw
2019-03-31 22:14:53,070 | INFO | Stopping loop...
2019-03-31 22:14:53,071 | INFO | Done.
2019-03-31 22:15:13,679 | INFO | Launching Platformer_v2.pyw
2019-03-31 22:15:15,906 | INFO | Stopping loop...
2019-03-31 22:15:15,907 | INFO | Done.
2019-03-31 22:15:43,238 | INFO | Launching Platformer_v2.pyw
2019-03-31 22:15:45,105 | INFO | Stopping loop...
2019-03-31 22:15:45,106 | INFO | Done.
2019-03-31 22:16:18,247 | INFO | Launching Platformer_v2.pyw
2019-03-31 22:16:20,212 | INFO | Stopping loop...
2019-03-31 22:16:20,213 | INFO | Done.
2019-03-31 22:16:24,358 | INFO | Launching Platformer_v2.pyw
2019-03-31 22:16:26,314 | INFO | Stopping loop...
2019-03-31 22:16:26,315 | INFO | Done.
2019-03-31 22:16:40,447 | INFO | Launching Platformer_v2.pyw
2019-03-31 22:16:47,187 | INFO | Stopping loop...
2019-03-31 22:16:47,188 | INFO | Done.
2019-03-31 22:17:01,630 | INFO | Launching Platformer_v2.pyw
2019-03-31 22:17:12,359 | WARNING | The game has been force-quited.
2019-03-31 22:17:30,012 | INFO | Launching Platformer_v2.pyw
2019-03-31 22:17:32,569 | INFO | Stopping loop...
2019-03-31 22:17:32,570 | INFO | Done.
2019-03-31 22:18:04,136 | INFO | Launching Platformer_v2.pyw
2019-03-31 22:18:14,870 | WARNING | The game has been force-quited.
2019-03-31 22:18:36,546 | INFO | Launching Platformer_v2.pyw
2019-03-31 22:18:38,305 | INFO | Stopping loop...
2019-03-31 22:18:38,307 | INFO | Done.
2019-03-31 22:18:42,156 | INFO | Launching Platformer_v2.pyw
2019-03-31 22:18:46,040 | INFO | Stopping loop...
2019-03-31 22:18:46,041 | INFO | Done.
2019-03-31 22:19:24,527 | INFO | Launching Platformer_v2.pyw
2019-03-31 22:19:31,765 | WARNING | The game has been force-quited.
